User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category,Purchase
1008270,P0031876,M,18-25,16,B,3,0,5,10428
1001860,P0018949,M,51-55,3,B,0,0,12,16035
1006390,P0061962,F,36-45,5,B,0,0,13,17376
1006191,P0081206,M,26-35,0,B,0,1,7,9540
1006734,P0034099,F,26-35,8,C,1,0,2,2533
1007265,P0022716,F,26-35,3,C,3,0,14,17674
1001466,P0062611,M,55+,8,C,4+,1,5,18221
1005426,P0048885,F,46-50,8,C,4+,0,12,22511
1006578,P0063144,F,51-55,12,B,4+,0,4,16820
1009322,P0075220,M,36-45,16,B,4+,1,17,534
1002685,P0017837,M,26-35,20,A,3,1,16,17755
1001769,P0059355,M,18-25,2,C,0,0,10,4682
1007949,P0057299,M,18-25,5,A,4+,0,3,10123
1003433,P0029159,M,18-25,19,C,0,0,1,6943
1006311,P0061012,M,26-35,14,B,4+,0,6,5289
1006051,P0069305,F,51-55,13,C,1,1,3,1867
1007420,P0097096,F,55+,12,B,0,0,7,12930
1002184,P0027106,M,26-35,8,C,3,1,9,904
1005555,P0068123,M,36-45,14,B,1,0,12,10284
1004385,P0018720,M,26-35,13,B,1,1,14,24349
1007396,P0047661,F,26-35,3,B,3,0,1,21262
1009666,P0097318,M,36-45,10,C,1,1,13,3280
1003558,P0031120,M,26-35,1,B,0,1,2,15044
1008849,P0029790,F,51-55,15,C,2,1,3,15274
1003047,P0068655,M,36-45,18,C,2,1,11,2411
1003747,P0069643,F,36-45,15,C,4+,1,5,12677
1001189,P0057374,F,26-35,6,B,4+,1,2,12532
1003734,P0052907,F,18-25,10,B,0,1,14,8820
1004005,P0060071,M,26-35,11,A,3,0,13,18869
1005658,P0044812,M,36-45,3,C,0,0,14,9880
1002899,P0059570,F,51-55,15,C,4+,0,3,23626
1008734,P0060901,M,26-35,15,C,1,1,8,18128
1002267,P0070186,M,36-45,6,B,0,0,13,1692
1002528,P0060251,M,26-35,12,A,0,0,12,15520
1004556,P0075171,M,26-35,4,C,3,0,18,11900
1004890,P0046160,M,36-45,0,A,4+,0,18,177
1009838,P0029156,M,36-45,4,C,0,1,17,5758
1006393,P0086208,M,18-25,13,B,1,0,7,22034
1009792,P0089980,M,26-35,10,B,1,1,13,15999
1009433,P0082320,M,26-35,1,C,2,1,13,19177
1008513,P0027929,M,18-25,17,A,4+,0,6,23436
1003612,P0076606,M,51-55,14,B,1,1,16,17822
1008041,P0098442,M,26-35,13,C,3,0,3,19778
1007235,P0072559,M,18-25,12,C,4+,0,14,21792
1006486,P0064205,M,18-25,1,C,1,0,6,11315
1008099,P0078475,M,51-55,18,C,0,1,17,22932
1001775,P0074341,M,36-45,7,A,4+,1,16,5071
1009226,P0052863,M,36-45,16,A,1,1,2,14791
1004152,P0091837,M,18-25,14,B,0,1,9,21358
1002585,P0075439,M,51-55,19,B,2,0,13,4025
1004943,P0017194,M,26-35,20,B,4+,0,14,24398
1008555,P0081387,F,36-45,13,C,4+,1,12,2187
1004073,P0091914,M,51-55,2,A,1,1,11,12863
1002021,P0076214,F,18-25,16,B,2,0,10,15785
1004843,P0039777,M,26-35,2,A,3,1,18,8970
1008989,P0036183,M,18-25,12,A,1,0,3,13225
1007873,P0037445,M,26-35,17,B,1,1,16,24273
1006675,P0077038,M,26-35,0,C,3,0,18,8521
1001161,P0097201,M,51-55,6,A,3,0,14,2928
1005297,P0026198,M,26-35,4,B,3,1,17,15764
1001995,P0031411,M,36-45,1,C,3,1,5,10415
1008629,P0060577,M,46-50,16,A,3,0,17,2412
1002016,P0025867,F,55+,20,B,0,1,14,22942
1008869,P0072501,M,26-35,9,C,0,1,3,23255
1007439,P0024266,F,26-35,3,B,3,1,15,7782
1008892,P0049422,M,18-25,8,A,2,0,12,13379
1007863,P0045208,M,0-17,20,B,2,1,17,5742
1008916,P0041213,M,26-35,10,B,3,0,17,24582
1009529,P0017367,M,18-25,11,A,0,0,7,9684
1001878,P0089026,M,26-35,11,A,2,1,5,20219
1005887,P0045362,M,0-17,17,A,0,0,2,18508
1005859,P0061588,M,36-45,3,A,1,0,16,24361
1007331,P0048285,F,26-35,8,B,0,0,13,12469
1009571,P0084755,M,18-25,7,B,3,0,11,1760
1009684,P0081846,F,26-35,18,B,4+,0,7,329
1008208,P0046307,F,26-35,12,C,3,0,3,22925
1006276,P0090280,F,36-45,1,B,1,1,6,18062
